ibge_id;size
2517100;191
2517209;147
2517407;107
2600054;126
2600104;378
2600203;1491
2600302;201
2600401;533
2600500;886
2600609;216
2600708;273
2600807;453
2600906;235
2601003;118
2601052;96
2601102;2037
2601201;323
2601300;121
2601409;233
2601508;75
2601607;1831
2601706;648
2601805;1244
2601904;493
2602001;1622
2602100;792
2602209;218
2602308;390
2602407;160
2602506;106
2602605;762
2602704;93
2602803;1321
2602902;445
2603009;1659
2603108;179
2603207;295
2603306;122
2603405;179
2603454;51
2603504;72
2603603;39
2603702;423
2603801;336
2603900;428
2603926;1005
2604007;148
2604106;921
2604155;116
2604205;207
2604304;149
2604403;49
2604502;85
2604601;90
2604700;318
2604809;101
2604908;292
2605004;95
2605103;1404
2605152;1539
2605202;342
2605301;1337
2605400;108
2605459;19
2605509;93
2605608;996
2605707;3644
2605806;213
2605905;256
2606002;459
2606101;232
2606200;446
2606309;522
2606408;504
2606507;635
2606606;1906
2606705;190
2606804;306
2606903;838
2607000;1168
2607109;244
2607208;522
2607307;694
2607406;430
2607505;1062
2607604;67
2607653;304
2607703;405
2607752;74
2607802;163
2607901;259
2607950;87
2608008;715
2608057;278
2608107;140
2608206;122
2608255;121
2608305;105
2608404;148
2608453;70
2608503;57
2608602;199
2608701;225
2608750;1850
2608800;189
2608909;274
2609006;108
2609105;60
2609154;345
2609204;200
2609303;822
2609402;196
2609501;131
2609600;41
2609709;139
2609808;555
2609907;2382
2610004;339
2610103;169
2610202;380
2610301;185
2610400;2610
2610509;327
2610608;275
2610707;97
2610806;921
2610905;981
2611002;1057
2611101;4562
2611200;204
2611309;240
2611408;113
2611507;231
2611533;211
2611606;219
2611705;314
2611804;290
2611903;227
2612000;190
2612109;87
2612208;1679
2612307;252
2612406;269
2612455;1246
2612471;115
2612505;335
2612554;1005
2612604;3001
2612703;92
2612802;200
2612901;160
2613008;719
2613107;382
2613206;258
2613305;232
2613404;69
2613503;1474
2613602;794
2613701;262
2613800;114
2613909;2980
2614006;1535
2614105;2422
2614204;374
2614303;404
2614402;138
2614501;253
2614600;388
2614709;228
2614808;1265
2614857;214
2615003;475
2615102;151
2615201;319
2615300;288
2615409;26
2615508;135
2615607;296
2615706;192
2615805;950
2615904;179
2616001;335
2616100;476
2616183;74
2616209;196
2616308;228
2616407;336
2616506;111
2700102;468
2700201;186
2700300;346
2700409;533
2700508;131
2700607;74
2700706;316
2700805;67
2700904;335
2701001;193
2701100;168
2701209;282
2701308;94
2701357;66
2701407;313
2701506;170
2701605;603
2701704;264
2701803;102
2701902;158
2702009;89
2702108;208
2702207;40
2702306;898
2702355;279
2702405;629
2702504;142
2702553;261
2702603;176
2702702;110
2702801;334
2702900;513
2703007;265
2703106;334
2703205;427
2703304;372
2703403;149
2703502;209
2703601;85
2703700;105
2703759;334
2703809;298
2703908;89
2704005;248
2704104;84
2704203;309
2704302;509
2704401;443
2704500;334
2704609;332
2704708;341
2704807;180
2704906;92
2705002;915
2705101;238
2705200;114
2705309;167
2705408;87
2705507;418
2705606;216
2705705;192
2705804;328
2705903;117
2706000;175
2706109;197
2706208;38
2706307;451
2706406;692
2706422;255
2706448;93
2706505;251
2706604;118
2706703;690
2706802;241
2706901;260
2707008;117
2707107;405
2707206;284
2707305;313
2707404;257
2707503;238
2707602;320
2707701;294
2707800;129
2707909;29
2708006;438
2708105;232
2708204;141
2708303;257
2708402;492
2708501;397
2708600;336
2708709;77
2708808;315
2708907;41
2708956;342
2709004;125
2709103;154
2709152;299
2709202;686
2709301;420
2709400;368
2800100;35
2800209;360
2800308;182
2800407;199
2800506;148
2800605;92
2800670;206
2800704;144
2801009;201
2801108;169
2801207;933
2801306;442
2801405;639
2801504;46
2801603;84
2801702;229
2801900;128
2802007;90
2802106;647
2802205;183
2802304;399
2802403;654
2802502;20
2802601;243
2802700;55
2802809;316
2802908;337
2803005;502
2803104;183
2803203;740
2803302;366
2803401;402
2803500;969
2803609;162
2803708;138
2803807;63
2803906;102
2804003;96
2804102;95
2804201;387
2804300;74
2804409;266
2804458;341
2804508;758
2804607;482
2804706;82
2804805;155
2804904;381
2805000;82
2805109;33
2805208;156
2805307;209
2805406;1219
2805505;441
2805604;877
2805703;94
2805802;531
2805901;78
2806008;259
2806107;103
2806206;248
2806305;325
2806404;45
2806503;68
2806602;237
2806701;438
2806800;102
2806909;84
2807006;145
2807105;560
2807204;168
2807303;49
2807402;1025
2807501;305
2807600;118
2900108;539
2900207;1605
2900306;181
2900355;629
2900405;743
2900504;735
2900603;168
2900702;708
2900801;1478
2900900;245
2901007;432
2901106;167
2901155;822
2901205;1900
2901304;1590
2901353;1362
2901403;1530
2901502;188
2901601;320
2901700;294
2901809;345
2901908;479
2901957;151
2902005;1490
2902054;475
2902104;1496
2902203;369
2902252;436
2902302;174
2902401;445
2902500;3321
2902609;968
2902658;410
2902708;11428
2902807;1657
2902906;766
2903003;1587
2903102;214
2903201;8051
2903235;415
2903276;207
2903300;202
2903409;1939
2903508;773
2903607;554
2903706;850
2903805;2972
2903904;4116
2903953;468
2904001;897
2904050;791
2904100;1426
2904209;628
2904308;519
2904407;2247
2904506;2370
2904605;2208
2904704;219
2904753;4047
2904803;512
2904852;222
2904902;395
2905008;611
2905107;541
2905156;767
2905206;2652
2905305;644
2905404;449
2905503;458
2905602;585
2905701;785
2905800;840
2905909;2915
2906006;7162
2906105;460
2906204;580
2906303;1334
2906402;448
2906501;252
2906600;434
2906709;1170
2906808;1352
2906824;3565
2906857;630
2906873;465
2906899;806
2906907;2378
2907004;293
2907103;2526
2907202;9647
2907301;714
2907400;703
2907509;427
2907558;716
2907608;567
2907707;3005
2907806;820
2907905;168
2908002;275
2908101;10141
2908200;165
2908309;285
2908408;1015
2908507;115
2908606;931
2908705;1348
2908804;977
2908903;378
2909000;524
2909109;2663
2909208;797
2909307;11504
2909406;4283
2909505;183
2909604;637
2909703;1053
2909802;139
2909901;5951
2910008;414
2910057;184
2910107;690
2910206;95
2910305;179
2910404;1890
2910503;1188
2910602;1299
2910701;2025
2910727;1426
2910750;364
2910776;1176
2910800;1304
2910859;580
2910909;172
2911006;321
2911105;15634
2911204;230
2911253;385
2911303;3818
2911402;1567
2911501;202
2911600;107
2911659;873
2911709;1272
2911808;2189
2911857;313
2911907;2342
2912004;483
2912103;231
2912202;817
2912301;1139
2912400;1382
2912509;954
2912608;698
2912707;473
2912806;771
2912905;318
2913002;1834
2913101;573
2913200;1740
2913309;138
2913408;837
2913457;591
2913507;860
2913606;1589
2913705;1082
2913804;373
2913903;280
2914000;3105
2914109;1056
2914208;459
2914307;1708
2914406;992
2914505;268
2914604;319
2914653;925
2914703;2386
2914802;401
2914901;726
2915007;1332
2915106;311
2915205;811
2915304;877
2915353;4310
2915403;1225
2915502;271
2915601;2361
2915700;143
2915809;1535
2915908;534
2916005;1394
2916104;121
2916203;453
2916302;1013
2916401;1651
2916500;1558
2916609;421
2916708;344
2916807;1674
2916856;548
2916906;322
2917003;1651
2917102;314
2917201;1199
2917300;415
2917334;1525
2917359;9955
2917409;1332
2917508;2193
2917607;925
2917706;2466
2917805;863
2917904;641
2918001;2969
2918100;4267
2918209;239
2918308;262
2918357;913
2918407;6721
2918456;1458
2918506;1355
2918555;329
2918605;590
2918704;498
2918753;912
2918803;450
2918902;624
2919009;847
2919058;383
2919108;189
2919157;643
2919207;58
2919306;1283
2919405;857
2919504;1953
2919553;4036
2919603;701
2919702;1210
2919801;2459
2919900;2546
2919926;32
2919959;615
2920007;588
2920106;907
2920205;1979
2920304;551
2920403;2202
2920452;3130
2920502;2413
2920601;438
2920700;849
2920809;1099
2920908;743
2921005;605
2921054;773
2921104;1312
2921203;1600
2921302;420
2921401;1752
2921450;1173
2921500;3034
2921609;2094
2921708;5745
2921807;528
2921906;2462
2922003;1788
2922052;647
2922102;1492
2922201;105
2922250;3852
2922300;86
2922409;276
2922508;279
2922607;389
2922656;465
2922706;805
2922730;347
2922755;203
2922805;475
2922854;565
2922904;967
2923001;1316
2923035;628
2923050;278
2923100;637
2923209;3313
2923308;157
2923357;1545
2923407;2560
2923506;737
2923605;1087
2923704;2625
2923803;442
2923902;626
2924009;1544
2924058;597
2924108;158
2924207;890
2924306;1826
2924405;11598
2924504;628
2924603;496
2924652;647
2924678;193
2924702;512
2924801;980
2924900;955
2925006;769
2925105;937
2925204;315
2925253;530
2925303;2286
2925402;1112
2925501;1692
2925600;232
2925709;1209
2925758;442
2925808;2011
2925907;1381
2925931;366
2925956;1091
2926004;4574
2926103;242
2926202;5978
2926301;1155
2926400;3184
2926509;644
2926608;1252
2926657;1364
2926707;1115
2926806;778
2926905;656
2927002;740
2927101;2207
2927200;1992
2927309;151
2927408;693
2927507;347
2927606;934
2927705;1463
2927804;284
2927903;379
2928000;1623
2928059;824
2928109;1985
2928208;1909
2928307;223
2928406;6030
2928505;719
2928604;495
2928703;262
2928802;360
2928901;15157
2928950;290
2929008;103
2929057;1752
2929107;222
2929206;270
2929255;1146
2929305;295
2929354;128
2929370;362
2929404;231
2929503;537
2929602;131
2929701;949
2929750;166
2929800;509
2929909;2402
2930006;1985
2930105;789
2930154;2341
2930204;11980
2930303;1592
